N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8238945901431648,0.751595278079067,0.7587602623782734,0.014328808446455505,0.5955505279034691,0.027770281772851315
Model2,500,2,1,0.8287089826428481,0.7153431486581583,0.7573054881884369,0.004524886877828055,0.22171945701357465,0.008868778280542985
Model3,500,3,1,0.8313695679716204,0.6924916226369396,0.75560223553659,0.0,0.0,0.0
Model4,500,1,2,0.8342835423793235,0.7643619894290777,0.7631260314609433,0.0196078431372549,0.5859728506787331,0.03665057554179169
Model5,500,2,2,0.8342835423793235,0.7353641323945226,0.7676872684391376,0.024886877828054297,0.2371166415284062,0.045045905514631265
Model6,500,3,2,0.8351704041555809,0.7276276668885495,0.7698732709573899,0.03695324283559578,0.18369510568999062,0.06152894316800656
Model7,800,1,2,0.8371975167870265,0.7754952363686337,0.7708763437440281,0.042986425339366516,0.46779656531978514,0.07413087484597783
Model8,800,2,2,0.8361839604713037,0.7702691534192947,0.7780744483789981,0.06259426847662142,0.43153709036061977,0.10050033892389357
Model9,800,3,2,0.8366907386291651,0.7329605073401132,0.7741814366811838,0.05203619909502263,0.19400452488687783,0.08206168409008166
